County,Varietal,Grape Color,Year,Bearing,Non-Bearing,Total,Tons, $/Ton , Total Value 
Sonoma,Sangiovese,Red,2017,316.5,0,316.6,916.8,"2,400.63","$2,200,900.00 "
Sonoma,Syrah-Shiraz,Red,2017,"1,571.70",8.5,"1,580.20","3,216.50","2,779.67","$8,940,800.00 "
Sonoma,Zinfandel,Red,2017,"4,976.90",16.9,"4,993.90","12,874.50","3,006.42","$38,706,200.00 "
Sonoma,TOTAL ALL REDS Includes Other Reds,Red,2017,"39,996.50","1,658.80","41,655.30","124,787.50","3,219.57","$401,762,100.00 "
Sonoma,Cabernet Franc,Red,2018,565,10.6,575.6,"1,832.60","3,567.17","$6,537,200.00 "
Sonoma,Cabernet Sauvignon,Red,2018,"12,505.10",642.3,"13,147.40","56,948.20","3,113.75","$177,322,500.00 "
Sonoma,Carignane,Red,2018,162.7,9.7,172.4,406.9,"2,654.55","$1,080,100.00 "
Sonoma,Grenache,Red,2018,150.2,12.1,162.3,929,"3,025.64","$2,810,800.00 "
Sonoma,Malbec,Red,2018,536,9.3,545.3,"2,695.10","2,894.42","$7,800,800.00 "
Sonoma,Mataro/Mouvedere,Red,2018,40.6,0.9,41.5,216.4,"3,236.82","$700,400.00 "
Sonoma,Merlot,Red,2018,"3,940.80",10.2,"3,951.00","15,492.00","1,961.96","$30,394,700.00 "
Sonoma,Petit Verdot,Red,2018,284.3,18.6,302.9,"1,324.80","3,336.84","$4,420,600.00 "
Sonoma,Petite Sirah,Red,2018,685.3,2,687.3,"2,954.50","3,088.27","$9,124,300.00 "
Sonoma,Pinot Noir,Red,2018,"13,383.60",880,"14,263.60","58,005.20","3,802.05","$220,538,700.00 "
Sonoma,Sangiovese,Red,2018,211.4,0,211.4,"1,070.20","2,477.26","$2,651,200.00 "
Sonoma,Syrah-Shiraz,Red,2018,"1,557.80",3.7,"1,561.50","3,966.90","2,773.75","$11,003,200.00 "
Sonoma,Zinfandel,Red,2018,"4,946.60",24.4,"4,971.00","15,730.60","3,102.26","$48,800,400.00 "
Sonoma,TOTAL ALL REDS Includes Other Reds,Red,2018,"39,842.00","1,956.40","41,798.40","163,575.20","3,227.84","$527,994,600.00 "
Sonoma,Cabernet Franc,Red,2019,562,13,575,"1,533.40","3,815.93","$5,851,300.00 "
Sonoma,Cabernet Sauvignon,Red,2019,"12,082.00",539,"12,621.00","45,948.30","3,055.93","$140,414,800.00 "
Sonoma,Carignane,Red,2019,170,6,176,416.5,"2,591.56","$1,079,400.00 "
Sonoma,Grenache,Red,2019,183,43,226,806.1,"3,203.49","$2,582,300.00 "
Sonoma,Malbec,Red,2019,416,22,438,"1,863.00","3,041.79","$5,666,900.00 "
Sonoma,Mataro/Mouvedere,Red,2019,63,10,73,182.8,"3,455.43","$631,700.00 "
Sonoma,Merlot,Red,2019,"4,346.00",47,"4,393.00","12,312.30","2,000.15","$24,626,400.00 "
Sonoma,Petit Verdot,Red,2019,249,4,253,"1,025.00","3,403.84","$3,500,000.00 "
Sonoma,Petite Sirah,Red,2019,635,21,656,"2,628.30","3,154.98","$8,300,000.00 "
Sonoma,Pinot Noir,Red,2019,"12,509.00",585,"13,094.00","47,178.30","3,949.20","$186,316,500.00 "
Sonoma,Sangiovese,Red,2019,279,1,283,993.4,"2,576.02","$2,559,000.00 "
Sonoma,Sangiovese,Red,2019,279,1,280,993.4,"2,576.02","$2,559,000.00 "
Sonoma,Syrah-Shiraz,Red,2019,"1,396.00",12,"1,408.00","3,334.30","2,811.92","$9,400,000.00 "
Sonoma,Zinfandel,Red,2019,"4,758.00",50,"4,808.00","14,817.70","3,143.05","$46,572,800.00 "
Sonoma,TOTAL ALL REDS Includes Other Reds,Red,2019,"38,212.00","1,404.00","39,616.00","135,051.70","3,254.92","$439,582,500.00 "
Sonoma,Cabernet Franc,Red,2020,557,29,586,942.4,"3,534.95","$3,331,300.00 "
Sonoma,Cabernet Sauvignon,Red,2020,"12,089.00",631,"12,720.00","31,137.90","2,460.15","$76,603,900.00 "
Sonoma,Carignane,Red,2020,158,6,164,257.9,"2,447.30","$631,200.00 "
Sonoma,Grenache,Red,2020,203,58,261,751.7,"2,509.56","$1,886,400.00 "
Sonoma,Malbec,Red,2020,414,16,430,"1,004.80","2,643.18","$2,655,900.00 "
Sonoma,Mataro/Mouvedere,Red,2020,65,8,73,108.3,"2,874.98","$311,400.00 "
Sonoma,Merlot,Red,2020,"4,175.00",17,"4,192.00","5,652.80","1,589.61","$8,985,700.00 "
Sonoma,Petit Verdot,Red,2020,244,7,251,494.6,"3,184.33","$1,575,000.00 "
Sonoma,Petite Sirah,Red,2020,641,42,683,"1,622.10","2,706.91","$4,390,900.00 "
Sonoma,Pinot Noir,Red,2020,"12,516.00",497,"13,013.00","29,263.70","3,146.85","$92,088,500.00 "
Sonoma,Sangiovese,Red,2020,279,4,283,398.9,"2,364.77","$943,300.00 "
Sonoma,Syrah-Shiraz,Red,2020,"1,352.00",29,"1,381.00","1,581.50","2,472.14","$3,909,700.00 "
Sonoma,Zinfandel,Red,2020,"4,654.00",105,"4,759.00","8,397.00","2,624.37","$22,036,800.00 "
Sonoma,TOTAL ALL REDS Includes Other Reds,Red,2020,"37,916.00","1,493.00","39,409.00","82,910.20","2,651.92","$219,871,200.00 "
Sonoma,Cabernet Franc,Red,2021,552,33,585,"1,150.40","3,866.85","$4,448,400.00 "
Sonoma,Cabernet Sauvignon,Red,2021,"12,293.00",429,"12,722.00","41,114.60","2,728.69","$112,189,000.00 "
Sonoma,Carignane,Red,2021,156,2,158,280.7,"2,633.52","$739,200.00 "
Sonoma,Grenache,Red,2021,211,55,266,898.4,"3,101.70","$2,786,600.00 "
Sonoma,Malbec,Red,2021,422,26,448,"1,577.20","3,081.97","$4,860,900.00 "
Sonoma,Mataro/Mouvedere,Red,2021,71,11,82,179.1,"3,176.28","$568,900.00 "
Sonoma,Merlot,Red,2021,"4,140.00",17,"4,157.00","7,828.50","1,961.32","$15,354,200.00 "
Sonoma,Petit Verdot,Red,2021,242,6,248,983.1,"3,536.74","$3,477,000.00 "
Sonoma,Petite Sirah,Red,2021,651,26,677,"2,163.90","2,996.48","$6,484,100.00 "
Sonoma,Pinot Noir,Red,2021,"12,608.00",265,"12,873.00","48,496.50","3,512.27","$170,332,800.00 "
Sonoma,Sangiovese,Red,2021,278,4,282,879.7,"2,493.41","$2,193,500.00 "
Sonoma,Syrah-Shiraz,Red,2021,"1,326.00",34,"1,360.00","2,450.60","2,871.85","$7,037,800.00 "
Sonoma,Zinfandel,Red,2021,"4,613.00",116,"4,729.00","11,660.00","3,113.73","$36,306,100.00 "
Sonoma,TOTAL ALL REDS Includes Other Reds,Red,2021,"38,128.00","1,056.00","39,184.00","121,693.00","3,060.13","$372,396,400.00 "
